#structure
csvSeparator=;
structure=tree
dateFormat=dd/mm/yyyy
codeColumnsIndex=1,2
titleColumnIndex_PT=3

#metadata
name=CS_Prod_Trade
title_EN=CountrySTAT commodities
description_EN=CountrySTAT commodities
version=1.0
startDate=16/06/2014
sharingPolicy=publicPolicy
keywords=code list,commodities,production, trade, commodity,product,products,countrySTAT



--data--



;689;Malagueta(piri-piri)
;692;Baunilha
;693;Canela
;698;Cravos da índia
;702;Noz moscada, cardomomo
;711;Anis, funcho, badiana, coentro, cominho, sementes de cominho, bagas de zimbro
;720;Gengibre
;723;Especiarias, nes
;17;Farelo de trigo
;35;Farelo de arroz
;37;Bolo de farelo de arroz
;47;Farelo da cevada
;59;Farelo de milho
;61;Bolo de milho
;73;Farelo de centeio
;77;Farelo de aveia
;81;Farelo de mexoeira
;85;Farelo de mapira
;91;Farelo de trigo
;96;Farelo de fonio
;99;Farelo de triticale
;105;Farelo de cereais
;112;Farelo de cereais
;120;Dejetos de batata
;169;Polpa de beterraba
;170;Bagaço
;213;Farelo de Pulses
;238;Bolo de soja
;245;Bolo de amendoim
;253;Bolo de copra
;259;Bolo de palmiste
;269;Bolo de girasol
;272;Bolo de colza
;273;Residuos de azeitonas
;282;Bolo de cartamo
;291;Bolo de gergelin
;294;Bolo de mostarda
;298;Bolo de semente de papoula
;314;Bolo de sumauma
;332;Bolo de algodão
;335;Bolo de linho
;338;Cake of Hempseed
;341;Bolo de grãos de oleagionosas
;566;Bagaço de uvas
;628;polpa de frutas para alimentação
;629;Tops de beterraba
;630;Pontas brancas de cana
;635;Cascas e palha
;636;Feno de milho
;637;Feno de sorgo
;638;Azevém para forragem e silagem
;639;Gramineas forrageiras
;640;Clover para forragem e silagem
;641;Alfafa para forragem e silagem
;642;Oleaginosas verdes para silagem
;643;Leguminosas para silagem
;644;Repoulho para forragem
;645;Aboboras para forragem
;646;Nabos para forragem
;647;Beterrabas para forragem
;648;Cenouras para forragem
;649;Swedes for Fodder
;650;Folhas, extremidades e gavinhas
;651;Produtos forrageiros
;652;Produtos  vegetais para alforragem
;653;Dejetos de alimentos
;655;Raizes, legumes forrageiras
;840;Alimentos compostos para bovinos
;841;Alimentos compostos para aves
;842;Alimentos compostos para porcinos
;843;Alimentos para omésticosd
;845;Alimentos compostos
;846;Forragens e bolos com base de gluten
;849;Levedura
;850;Suplementos alimentares
;851;Nitrogenados nao proteicos
;852;Outros concentrados
;853;Vitaminas
;854;Aditivos
;855;Alimentos minerais
;857;Feno de plantas não leguminosas
;858;Feno (trevo, alfafa, etc)
;859;Feno (nao especificado)
;860;Pastagem da época
;861;Pastagem melhorada
;862;Farinha de alfafa e petalas
;1173;Farinha de carne
;1174;Farinha de peixe
;1175;Farinha de sangue
;1259;Resíduos alimentares, fórmula alimentar
;656;Café verde
;657;Café torrado
;658;Substrato de café e café concentrado
;659;Extrato de café
;660;Coffee Husks and Skins
;661;Cacau em amendoa
;662;Pasta de cacau
;663;Vagens e pele de cacau
;664;Manteiga de cacau
;665;Po e massa de cacau
;666;Cacau em pó sem/com adição de açucar
;667;Cha
;671;Mate
;672;Extrato de cha, Mate, preparado
;674;Infusões
;459;Raizes de chiocorria
;460;Produtos vegetais frescos e secos
;461;Carobs
;677;Lupulo
;737;Oleo de critonela
;748;Mentol pimentado, mentol verde
;753;Oleos essenciais
;754;Piretro, flores secas
;755;Extrato de piretro
;756;Pyrethrum Marc
;826;Tabaco em bruto
;828;Cigarros com Filtro
;829;Charutos e cigarrilhas
;831;Tabaco e produtos nes
;836;Borracha natural
;837;Borracha natural seco
;839;Gomas naturais
;1232;Salsa e coentros
;1291;Goma arabica
;1292;Outras uvas
;1293;Matérias organicas brutas
;1294;Sementes para semear
;1296;Ceras vegetais
;36;Oleo de farelo de arroz
;60;Oleo de milho
;237;Oleo de soja
;244;Oleo de amendoim
;252;Oleo de Coco
;257;Oleo de palma
;258;Oleo de palmiste
;261;Azeite de oliveira virgem
;264;Manteiga de karité
;266;Oleo de ricino
;268;Oleo de girassol
;271;Oleo de colza
;274;Oleo de residuos de azeitona
;276;Oleo de tungue
;278;Oleo de jojoba
;281;Oleo Safflower
;290;Oleo de gergelim
;293;Oleo de mustarda
;297;Oleo de papoila
;306;Sebo vegetal
;307;Oleo Stillingia
;313;Oleo de sumauma
;331;Oleo de algodao
;334;Oleo de linho
;337;Oleo de canhamo
;340;Oleo vegetal
;869;Gordura de bovino
;871;Cattle Butch.Fat
;949;Gordura de bufalo
;979;Gordura de ovelhas
;994;Lã em bruto e lanolina
;1019;Gordura de caprino
;1037;Gordura de porco
;1040;Gordura de corte (carne de porco)
;1043;Banha de porco
;1065;Gordura de aves
;1066;Gorduras fundidads de aves
;1129;Grodura de cemalideos
;1160;Gorduras de outros camelideos
;1168;Oleos, gorduras animais
;1221;Banha de oleo estearina
;1222;Degras
;1223;Oleo de peixes e de mamiferos marinhos
;1225;Sebo
;1241;Margarina liquida
;1242;Margarina e compostos de gorduras alimentares
;1243;Preparaçoes de gordura
;1273;Oleo de ricino hidrogenado
;1274;Oleos cozidos, desidratados, etc
;1275;Oleo hidrogenado
;1276;Acidos gordos
;1295;Espermacete
;26;Bebidas obtidas através da fermentação do trigo
;39;Bebidas obidas através da fermentação do arroz
;51;Cerveja de cevada
;66;Cerveja de milho
;82;Cerveja de milheto
;86;Cerveja de sorgo
;517;Cidra, etc
;563;Mosto de uvas
;564;Vinho
;565;Vermutes, etc
;631;Agua, gelo
;632;Alcool nao alimentar
;633;Bebidas não alcoolica
;634;Bebidas destiladas alcoolica
;866;Bovino
;946;Bufalos
;976;Ovelhas
;1016;Cabrito
;1034;Suínos
;1057;Galinhas
;1068;Patos
;1072;Gansos e galinha da guinea
;1079;Peru
;1083;Pombos e outras aves
;1096;Cavalos
;1107;Burros
;1110;Mulas
;1126;Camelos
;1140;Coelhos e lebre
;1150;Outros roedores
;1157;Outros camelideos
;1169;Live Animals Non Food
;1171;Animais vivos nes
;1181;Colmeia
;867;Carne de bovino
;868;Miudezas comestiveis de bovino
;870;Carne desossada de Bovino ( boi e vitela)
;872;Carne de vaca, seca, salteiada e fumada
;873;Extratos de carne
;874;Salsichas de vaca e de vitelo
;875;Preparação de vitelo e de vaca
;877;Preparação de cane homogeneizada
;878;Preparaçoes de figado
;947;Carne de bufalo
;948;Miudezas de bufalo comestiveis
;977;Carne de ovelha
;978;Miudezas comestiveis de ovelha
;1017;carne de Cabrito
;1018;Miudezas comestiveis de caprino
;1035;Carne de suinos
;1036;Miudezas comestives de porco
;1038;Carne de porco
;1039;Bacon e fiambre
;1041;Salsichas de proc
;1042;Preparação de carne de porco
;1058;Carne de galinha ( frango)
;1059;Miudeza de fígado de frango
;1060;Foie gras
;1061;Carne de frango em caixa
;1069;Carne de pato
;1073;Carne de ganso e de galinha da guinea
;1074;Miudezas de figado de ganso
;1075;Miudeza de figado de pato
;1080;Carne de peru
;1081;Miudeza de figado de peru
;1089;Carne de aves , nes
;1097;Carne de cavalo
;1098;Miudezas decavalo
;1108;Miudezas de burro
